feature,kind,n_subjects,n_nonnull,n_missing,pct_missing,mean,sd,min,median,max,high_missing_flag
rest_EO_occipital_aper_r2,rest,25,25,0,0.0,0.9877,0.0108,0.9557,0.9901,0.9978,False
rest_EO_global_delta_abs,rest,25,25,0,0.0,14.9712,12.4276,4.4022,11.6449,67.6094,False
rest_EO_global_delta_rel,rest,25,25,0,0.0,0.3864,0.1393,0.1855,0.3634,0.7743,False
rest_EO_global_theta_abs,rest,25,25,0,0.0,7.2689,7.281,1.4671,4.586,32.7286,False
rest_EO_global_theta_rel,rest,25,25,0,0.0,0.1662,0.0667,0.0789,0.1455,0.369,False
rest_EO_global_alpha_abs,rest,25,25,0,0.0,8.799,8.5155,0.719,4.8796,29.7709,False
rest_EO_global_alpha_rel,rest,25,25,0,0.0,0.2074,0.1354,0.0411,0.1694,0.5272,False
rest_EO_global_beta_abs,rest,25,25,0,0.0,5.6369,3.547,2.4394,4.2115,16.1144,False
rest_EO_global_beta_rel,rest,25,25,0,0.0,0.1561,0.0595,0.0399,0.1476,0.2701,False
rest_EO_global_theta_alpha_ratio,rest,25,25,0,0.0,1.146,0.7337,0.1497,0.9866,3.0382,False
rest_EO_global_spec_entropy,rest,25,25,0,0.0,0.7828,0.0712,0.5711,0.7902,0.9131,False
rest_EO_global_aper_offset,rest,25,25,0,0.0,0.9388,0.3714,-0.1839,0.9443,1.8838,False
rest_EO_global_aper_exponent,rest,25,25,0,0.0,1.2084,0.2721,0.5149,1.2086,1.9788,False
rest_EO_global_aper_r2,rest,25,25,0,0.0,0.9838,0.0172,0.9303,0.9888,0.9984,False
erp_n_standard_marked,erp,25,25,0,0.0,176.64,36.8,0.0,184.0,184.0,False
erp_n_target_marked,erp,25,25,0,0.0,36.48,7.6,0.0,38.0,38.0,False
erp_n_novel_marked,erp,25,25,0,0.0,36.48,7.6,0.0,38.0,38.0,False
erp_n_standard_kept,erp,25,24,1,4.0,142.6667,40.5094,21.0,160.0,184.0,False
