model,outcome,predictor,n,beta,se,ci_low,ci_high,p_value,std_beta,std_ci_low,std_ci_high,p_fdr
H3_transparency_full_OLS,S1_to_S3_NSI_Change,Global_Aperiodic_Exponent,21,14.730790009771674,42.989937165802274,-81.05675923380107,110.51833925334444,0.7389501931061233,0.16497883129195223,-0.9078025956404814,1.2377602582243858,0.9706848736082169
H3_transparency_full_OLS,S1_to_S3_NSI_Change,Posterior_IAF,21,-6.6770533261992275,10.418889629120985,-29.89178610340056,16.537679451002102,0.5360227274270006,-0.3474524247978363,-1.5554726098131786,0.8605677602175059,0.9706848736082169
H3_transparency_full_OLS,S1_to_S3_NSI_Change,Frontal_Theta_Alpha_Ratio,21,-7.635387673927282,20.25642525517377,-52.76951578733594,37.498740439481374,0.7140961230903988,-0.25796985375818426,-1.7828753236766075,1.266935616160239,0.9706848736082169
H3_transparency_full_OLS,S1_to_S3_NSI_Change,Occipital_Relative_Alpha,21,-2.3068031086179346,61.22183142735743,-138.71754430166735,134.10393808443146,0.9706848736082169,-0.02515364955391661,-1.5125922465205164,1.4622849474126831,0.9706848736082169
H3_transparency_full_OLS,S1_to_S3_NSI_Change,P3b_Amplitude,21,3.2209089927575527,3.782916932522788,-5.207955198433211,11.649773183948316,0.41445159685536503,0.3263955416672074,-0.5277557862682234,1.1805468696026382,0.9706848736082169
H3_transparency_full_OLS,S1_to_S3_NSI_Change,P3b_Latency,21,-0.013789318842818268,0.06255848381665233,-0.1531783071560559,0.1255996694704194,0.8299768553495814,-0.07239188055077372,-0.8041634137992738,0.6593796526977264,0.9706848736082169
H3_transparency_full_OLS,S1_to_S3_NSI_Change,P3a_Amplitude,21,2.3962361297563395,3.717290647519134,-5.886403586106258,10.678875845618936,0.533681538333618,0.27958737337261397,-0.6868121621294186,1.2459869088746465,0.9706848736082169
H3_transparency_full_OLS,S1_to_S3_NSI_Change,P3a_Latency,21,-0.018538604911636253,0.1622810988976526,-0.380123426308523,0.34304621648525047,0.9113105371353469,-0.04394316437316593,-0.9010292998845146,0.8131429711381828,0.9706848736082169
H3_transparency_full_OLS,S1_to_S3_NSI_Change,Age,21,0.9237878734800051,1.007722054097357,-1.3215567872577303,3.1691325342177405,0.3808716311902802,0.5373526775132593,-0.7687285127954555,1.8434338678219742,0.9706848736082169
H3_transparency_full_OLS,S1_to_S3_NSI_Change,Sex,21,-6.4082534633491814,17.389775011061598,-45.15508679279557,32.338579866097206,0.7201767979309575,-0.15361177285739205,-1.0824092672741292,0.7751857215593451,0.9706848736082169
H4_primary_parsimonious,S1_to_S3_Rivermead_Change,Global_Aperiodic_Exponent,19,13.539329729446628,11.989528655391208,-12.362472183423012,39.441131642316265,0.2791945129178699,0.30544304220023333,-0.27889350420412695,0.8897795886045936,0.41877969503016577
H4_primary_parsimonious,S1_to_S3_Rivermead_Change,Posterior_IAF,19,2.2648704708651146,2.430670126147242,-2.986273083863846,7.516014025594075,0.3684283933206159,0.23258235969524452,-0.3066640893923427,0.7718288087828318,0.41877969503016577
H4_primary_parsimonious,S1_to_S3_Rivermead_Change,P3b_Amplitude,19,3.289204028540764,1.0307020179898738,1.062507694722493,5.5159003623590355,0.007086269477960984,0.6599082608151594,0.21316938652726553,1.1066471351030533,0.03543134738980492
H4_primary_parsimonious,S1_to_S3_Rivermead_Change,Age,19,-0.22332706938452868,0.267446132067572,-0.8011093103955194,0.35445517162646206,0.4187796950301657,-0.24193732354792108,-0.8678672180697239,0.38399257097388173,0.41877969503016577
H4_primary_parsimonious,S1_to_S3_Rivermead_Change,Sex,19,-6.161938353136753,5.07909364610751,-17.134653069426733,4.810776363153229,0.24663879743563735,-0.24681507888001902,-0.686324741752648,0.19269458399260997,0.41877969503016577
H4_transparency_full_OLS,S1_to_S3_Rivermead_Change,Global_Aperiodic_Exponent,19,6.756830852316619,15.493560107950909,-28.971382825652476,42.48504453028571,0.6742892567669262,0.15243198979602826,-0.6535853313158323,0.9584493109078888,0.9776146719045465
H4_transparency_full_OLS,S1_to_S3_Rivermead_Change,Posterior_IAF,19,1.42076950305957,3.7090112868553216,-7.132225861947727,9.973764868066866,0.7116540092327575,0.14590058365608016,-0.7324171259196283,1.0242182932317885,0.9776146719045465
H4_transparency_full_OLS,S1_to_S3_Rivermead_Change,Frontal_Theta_Alpha_Ratio,19,-0.7055064813660166,7.32186973405936,-17.589768365533125,16.178755402801094,0.9256078981927964,-0.04480018014150902,-1.116963220376835,1.027362860093817,0.9776146719045465
H4_transparency_full_OLS,S1_to_S3_Rivermead_Change,Occipital_Relative_Alpha,19,-11.893832825670524,21.67489320124384,-61.87622617784748,38.088560526506434,0.5981620354110573,-0.2590437659998745,-1.3476438495398209,0.8295563175400718,0.9776146719045465
H4_transparency_full_OLS,S1_to_S3_Rivermead_Change,P3b_Amplitude,19,3.36873236903256,1.3478093990797475,0.2606783212876205,6.4767864167775,0.03697584116362238,0.6758639170785158,0.05229951567019486,1.2994283184868367,0.3697584116362238
H4_transparency_full_OLS,S1_to_S3_Rivermead_Change,P3b_Latency,19,0.0042669181402844435,0.022127497648880005,-0.0467591829397533,0.05529301922032219,0.8518949958810829,0.04583492336009806,-0.502283731715087,0.5939535784352832,0.9776146719045465
H4_transparency_full_OLS,S1_to_S3_Rivermead_Change,P3a_Amplitude,19,-0.047631406863139936,1.6453745637419865,-3.841871954811911,3.746609141085631,0.9776146719045465,-0.01032176646218233,-0.8325369269295487,0.8118933940051841,0.9776146719045465
H4_transparency_full_OLS,S1_to_S3_Rivermead_Change,P3a_Latency,19,-0.05405620056248075,0.06016692333939521,-0.19280137458563815,0.08468897346067664,0.3951878838988241,-0.24115447416582764,-0.8601217551889873,0.37781280685733204,0.9776146719045465
H4_transparency_full_OLS,S1_to_S3_Rivermead_Change,Age,19,-0.2456675810813951,0.394645064013841,-1.155720730635225,0.6643855684724349,0.5509382810777582,-0.2661395110459609,-1.252029058140272,0.7197500360483502,0.9776146719045465
H4_transparency_full_OLS,S1_to_S3_Rivermead_Change,Sex,19,-5.267212412866093,8.522781073096795,-24.9207808108671,14.386355985134912,0.553747315766168,-0.21097702908656116,-0.99819636761778,0.5762423094446577,0.9776146719045465
